id,character,status,issues,reason,reference_url,priority
godie-e007,天地志狼,locked_pass,正常沒問題,,,暫時略過
godie-e00k,安云,redo,背景音樂太重 | 完全不是該角色,,,必須重新抓取
godie-h020,莉娜因巴斯,locked_pass,正常沒問題,,,暫時略過
godie-h02k,熊貓,locked_pass,正常沒問題,,,暫時略過
godie-h02r,妙蛙花,locked_pass,正常沒問題,,,暫時略過
godie-hart,克勞德,locked_pass,正常沒問題,,,暫時略過
godie-hpal,藤井八雲,redo,完全不是該角色,,,必須重新抓取
godie-hpb1,蒼月潮,redo,背景音樂太重 | 戰鬥音效太多,,,必須重新抓取
godie-hvwd,桔梗,redo,背景音樂太重,,,必須重新抓取
godie-n00b,哆拉A夢,locked_pass,正常沒問題,,,暫時略過
godie-n00p,南野秀一,locked_pass,正常沒問題,,,暫時略過
godie-no100,編號100｜兩津勘吉,locked_pass,正常沒問題,,,暫時略過
godie-ogld,黑人牙膏,locked_pass,正常沒問題,,,暫時略過
godie-u00k,死之王,locked_pass,正常沒問題,,,暫時略過
godie-ubal,巴恩大魔王,locked_pass,正常沒問題,,,暫時略過
godie-udea,飛鼠先生,redo,混到其他角色,,,必須重新抓取
